+-----------------------------------+----------+-----------+------------+-------------+---------------+---------+----------------+--------------+---------------+--------------+-----------+----------------+-----------------+----------------+-------------+-----------+------------+---------------+------------+--------------+-----------------+-------------+-------------+-----------------+-----------------+------------------+-----------------+--------------+----------+-----------+--------------+------------------+-----------------+-----------------+---------------+---------------+------------+----------+----------+------------+------------+-------------+-------------+----------------+------------+
|             FdGrp_desc            | GI Value | Water_(g) | Energ_Kcal | Protein_(g) | Lipid_Tot_(g) | Ash_(g) | Carbohydrt_(g) | Fiber_TD_(g) | Sugar_Tot_(g) | Calcium_(mg) | Iron_(mg) | Magnesium_(mg) | Phosphorus_(mg) | Potassium_(mg) | Sodium_(mg) | Zinc_(mg) | Copper_mg) | Selenium_(µg) | Vit_C_(mg) | Thiamin_(mg) | Riboflavin_(mg) | Niacin_(mg) | Vit_B6_(mg) | Folate_Tot_(µg) | Folic_Acid_(µg) | Food_Folate_(µg) | Folate_DFE_(µg) | Vit_B12_(µg) | Vit_A_IU | Vit_A_RAE | Retinol_(µg) | Alpha_Carot_(µg) | Beta_Carot_(µg) | Beta_Crypt_(µg) | Lycopene_(µg) | Lut+Zea_ (µg) | Vit_E_(mg) | Vit_D_µg | Vit_D_IU | Vit_K_(µg) | FA_Sat_(g) | FA_Mono_(g) | FA_Poly_(g) | Cholestrl_(mg) | Refuse_Pct |
|    Sausages and Luncheon Meats    |  28.000  |   60.000  |  245.000   |    13.700   |     19.300    |  3.100  |     3.510      |    0.000     |     0.710     |    12.000    |   1.120   |     14.000     |     155.000     |    212.000     |   907.000   |   1.830   |   0.066    |     17.400    |   0.400    |    0.130     |      0.170      |    3.160    |    0.190    |      4.000      |      0.000      |      4.000       |      4.000      |    0.980     |  0.000   |   0.000   |    0.000     |      0.000       |      0.000      |      0.000      |     0.000     |     0.000     |   0.200    |  0.550   |  22.500  |   0.300    |   7.308    |    9.145    |    1.639    |     61.000     |   0.000    |
|   Finfish and Shellfish Products  |  50.000  |   69.400  |  130.000   |    26.300   |     1.200     |  1.400  |     1.700      |    0.000     |     0.000     |    98.000    |   1.410   |    238.000     |     217.000     |    163.000     |   153.000   |   1.710   |   0.435    |     40.300    |   0.000    |    0.060     |      0.080      |    1.040    |    0.060    |     179.000     |      0.000      |     179.000      |     179.000     |    5.250     |  23.000  |   7.000   |    7.000     |      0.000       |      0.000      |      0.000      |     0.000     |     0.000     |   6.330    |  0.000   |  0.000   |   0.200    |   0.370    |    0.334    |    0.274    |     65.000     |   0.000    |
|      Cereal Grains and Pasta      |  54.500  |   72.145  |  112.500   |    3.835    |     0.500     |  0.545  |     23.695     |    2.450     |     0.200     |    18.500    |   1.570   |     32.000     |     101.000     |     97.000     |    5.500    |   0.840   |   0.113    |     8.600     |   0.000    |    0.070     |      0.030      |    1.143    |    0.112    |      20.000     |      0.000      |      18.000      |      18.000     |    0.000     |  2.000   |   0.000   |    0.000     |      0.000       |      0.500      |      0.000      |     0.000     |     34.000    |   0.110    |  0.000   |  0.000   |   0.500    |   0.083    |    0.066    |    0.181    |     0.000      |   0.000    |
|          Spices and Herbs         |  50.000  |   83.850  |   23.000   |    2.360    |     0.860     |  8.040  |     4.890      |    3.200     |     0.410     |    40.000    |   1.670   |     33.000     |      10.000     |     40.000     |   2348.000  |   0.320   |   0.374    |     1.200     |   4.300    |    0.018     |      0.139      |    0.652    |    0.023    |      23.000     |      0.000      |      23.000      |      23.000     |    0.000     | 138.000  |   7.000   |    0.000     |      0.000       |      83.000     |      0.000      |     0.000     |     0.000     |   0.880    |  0.000   |  0.000   |   24.600   |   0.233    |    0.063    |    0.304    |     0.000      |   0.000    |
|  Meals, Entrees, and Side Dishes  |  40.000  |   75.690  |  107.000   |    5.530    |     3.470     |  1.605  |     14.220     |    1.550     |     3.465     |    33.000    |   1.255   |     16.500     |      75.500     |    232.000     |   400.000   |   0.610   |   0.096    |     9.000     |   0.100    |    0.058     |      0.054      |    1.245    |    0.105    |      21.000     |      10.000     |      13.000      |      28.000     |    0.150     | 276.500  |   23.000  |    2.000     |      3.000       |     121.000     |      0.000      |    663.000    |     47.500    |   0.500    |  0.000   |  0.000   |   2.300    |   1.253    |    1.412    |    0.400    |     8.000      |   0.000    |
|     Soups, Sauces, and Gravies    |  39.000  |   89.000  |   50.000   |    1.800    |     1.010     |  1.190  |     6.160      |    0.400     |     1.420     |    12.000    |   0.560   |     5.000      |      33.000     |    130.000     |   254.000   |   0.320   |   0.083    |     2.100     |   0.600    |    0.034     |      0.038      |    0.671    |    0.046    |      9.000      |      0.000      |      8.000       |      11.000     |    0.050     | 415.000  |   21.000  |    0.000     |      35.000      |     203.000     |      0.000      |     7.000     |     41.000    |   0.220    |  0.000   |  0.000   |   2.700    |   0.340    |    0.370    |    0.250    |     2.000      |   0.000    |
|           Baked Products          |  60.000  |   27.465  |  327.500   |    8.450    |     7.495     |  1.900  |     54.540     |    4.000     |     8.340     |    59.500    |   2.900   |     34.000     |     133.500     |    152.000     |   405.000   |   0.900   |   0.186    |     20.850    |   0.000    |    0.347     |      0.253      |    3.106    |    0.073    |      71.000     |      49.000     |      25.000      |     100.000     |    0.000     |  4.000   |   0.000   |    0.000     |      0.000       |      1.000      |      0.000      |     0.000     |     46.000    |   0.610    |  0.000   |  0.000   |   4.550    |   1.500    |    2.502    |    2.384    |     0.000      |   0.000    |
|       Nut and Seed Products       |  20.000  |   2.615   |  607.000   |    16.585   |     51.975    |  3.030  |     23.025     |    7.050     |     4.580     |    94.000    |   3.895   |    244.500     |     444.500     |    598.500     |   152.000   |   3.965   |   1.583    |     22.800    |   0.550    |    0.278     |      0.249      |    2.109    |    0.354    |      87.000     |      0.000      |      87.000      |      83.000     |    0.000     |  11.000  |   0.500   |    0.000     |      0.000       |      6.500      |      0.000      |     0.000     |     8.000     |   4.300    |  0.000   |  0.000   |   5.700    |   7.927    |    27.902   |    13.556   |     0.000      |   0.000    |
| Vegetables and Vegetable Products |  32.000  |   90.200  |   32.500   |    1.570    |     0.270     |  0.890  |     7.310      |    2.200     |     2.410     |    26.500    |   0.650   |     16.000     |      38.000     |    243.000     |    26.000   |   0.265   |   0.103    |     0.600     |   12.300   |    0.050     |      0.060      |    0.639    |    0.138    |      23.000     |      0.000      |      23.000      |      23.000     |    0.000     | 703.000  |   33.500  |    0.000     |      0.000       |     370.000     |      0.000      |     0.000     |    295.000    |   0.320    |  0.000   |  0.000   |   15.500   |   0.042    |    0.022    |    0.098    |     0.000      |   0.000    |
|               Snacks              |  62.000  |   6.100   |  469.000   |    7.100    |     18.200    |  3.000  |     67.800     |    5.700     |     2.770     |    41.000    |   1.750   |     56.000     |     154.000     |    272.000     |   252.000   |   1.150   |   0.319    |     15.700    |   0.500    |    0.213     |      0.267      |    4.270    |    0.245    |      24.000     |      0.000      |      23.000      |      24.000     |    0.000     |  0.000   |   0.000   |    0.000     |      0.000       |      0.000      |      0.000      |     0.000     |     17.000    |   0.790    |  0.000   |  0.000   |   2.700    |   2.941    |    4.970    |    3.100    |     0.000      |   0.000    |
|         Breakfast Cereals         |  77.300  |   2.950   |  367.000   |    10.600   |     3.350     |  2.325  |     80.000     |    3.250     |     21.000    |    75.000    |   2.940   |    100.000     |     266.000     |    140.000     |   203.500   |   1.890   |   0.309    |     8.200     |   13.750   |    0.575     |      0.625      |    7.210    |    0.680    |     139.500     |      90.500     |      24.500      |     203.000     |    1.560     |  0.000   |   0.000   |    0.000     |      0.000       |      0.000      |      0.000      |     0.000     |     0.000     |   0.520    |  0.000   |  0.000   |   1.400    |   0.679    |    1.022    |    0.951    |     0.000      |   0.000    |
|          Restaurant Foods         |  30.500  |   80.240  |   95.000   |    8.180    |     4.560     |  1.650  |     5.380      |    0.900     |     2.930     |    20.000    |   0.560   |     15.000     |      73.000     |    185.000     |   413.000   |   0.430   |   0.044    |     8.100     |   8.100    |    0.030     |      0.120      |    1.690    |    0.232    |      40.000     |      0.000      |      40.000      |      40.000     |    0.070     | 630.000  |   56.000  |    30.000    |      66.000      |     286.000     |      0.000      |     0.000     |    301.000    |   0.770    |  0.000   |  0.000   |   54.700   |   0.770    |    1.087    |    2.080    |     21.000     |   0.000    |
|             Baby Foods            |  41.250  |   76.500  |   99.000   |    3.600    |     2.200     |  1.400  |     16.300     |    0.100     |     0.590     |    54.000    |   0.800   |     7.000      |      56.000     |     32.000     |   282.000   |   0.350   |   0.040    |     13.400    |   0.100    |    0.120     |      0.140      |    1.650    |    0.090    |      36.000     |      0.000      |      36.000      |      36.000     |    0.050     | 494.000  |   51.000  |    32.000    |      2.000       |     230.000     |      3.000      |    1632.000   |     69.000    |   0.420    |  0.000   |  1.000   |   9.400    |   0.960    |    0.570    |    0.480    |     7.000      |   0.000    |
+-----------------------------------+----------+-----------+------------+-------------+---------------+---------+----------------+--------------+---------------+--------------+-----------+----------------+-----------------+----------------+-------------+-----------+------------+---------------+------------+--------------+-----------------+-------------+-------------+-----------------+-----------------+------------------+-----------------+--------------+----------+-----------+--------------+------------------+-----------------+-----------------+---------------+---------------+------------+----------+----------+------------+------------+-------------+-------------+----------------+------------+
