,GI Value,source table,acc,NDB_No,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Ash_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_mg),Manganese_(mg),Selenium_(µg),Vit_C_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Panto_Acid_mg),Vit_B6_(mg),Folate_Tot_(µg),Folic_Acid_(µg),Food_Folate_(µg),Folate_DFE_(µg),Choline_Tot_ (mg),Vit_B12_(µg),Vit_A_IU,Vit_A_RAE,Retinol_(µg),Alpha_Carot_(µg),Beta_Carot_(µg),Beta_Crypt_(µg),Lycopene_(µg),Lut+Zea_ (µg),Vit_E_(mg),Vit_D_µg,Vit_D_IU,Vit_K_(µg),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(mg),GmWt_1,GmWt_2,Refuse_Pct
Fiber_TD_(g),0.23759923782144315,0.006813418073252738,-0.048067684255439176,0.0647070740355846,-0.4021757746469522,0.21998648441210011,0.011682737675839132,-0.0817242417571058,0.20736651994307123,0.5221463918651548,1.0,0.13377827399734954,-0.11542681903107951,0.371743240621071,0.3883153106673382,0.06595752618757061,0.37308320752797697,-0.07450242178541647,0.14439952673845674,0.5144373812915192,0.20239990734000968,0.1269406277790867,0.06324560772477356,0.25492547871730864,0.12311908047003538,0.4150575050982491,0.21498391029362754,0.2593533036239292,0.29256969899454893,0.16428402934222758,0.24937162634233087,0.26525785435397103,-0.02039781537295524,-0.16467569305266344,0.16173616778730351,0.005956645559126699,-0.11790190092966804,0.035277673223141445,0.2176316744641702,0.016285675560048247,0.2805560783527475,0.05828096465172309,0.15724236090177202,-0.14312087008561492,-0.14572052089530085,0.06243194855082977,-0.1423478679172628,-0.07696718277197126,0.10715807558487543,-0.1461166523681093,-0.18146588558340015,-0.2453723669706289,0.02041393159332536
Sugar_Tot_(g),0.14892492162001641,0.0577472298699658,-0.09918214021815894,0.05832192177223263,-0.4068232760454272,0.2641038276358544,-0.24079331077138338,-0.04199511402213776,-0.15795160533358749,0.6152796276549181,0.13377827399734954,1.0,-0.10130442787536259,0.07623603418818509,-0.041354302123225176,-0.1540487043794571,0.04222173254482321,-0.22579150417786506,-0.13450116487363573,0.06593296634028371,-0.025243699031054164,-0.16301278074024864,-0.029060782183742154,0.03332323117228413,-0.022229716191304066,-0.007426559918541463,0.0019887894966030867,-0.047391039500866546,-0.033474362862203594,0.10436795811225708,-0.15840498611767265,0.014206605016483161,-0.08591855040776507,-0.14068898084724626,-0.048740138416798244,-0.0707989684992317,-0.06237621584571512,-0.07959850137747965,-0.024189422598481797,0.004340546357069435,0.10760158890272396,-0.07545301706895169,0.0007502814290128684,-0.0834841279516466,-0.08456630300060315,-0.08545103232231725,0.019002458698969306,-0.0830615706551403,-0.05438994557408111,-0.09732830457832801,-0.12219254491795732,-0.031405924393406254,-0.09270951309226085
Calcium_(mg),-0.23066867985062778,-0.03203973838609446,0.15125824263613946,-0.060880683774637505,-0.17451477320229217,0.1686024834474695,0.5657552785228815,0.14438739724498664,0.42816486371957,-0.09236960835624584,-0.11542681903107951,-0.10130442787536259,1.0,0.013520966237664312,0.1159181792360956,0.768064468885735,0.007393808914624193,0.21707096083028657,0.5652194227268879,-0.0469486121703149,0.006069552179210456,0.15695286532753502,0.1524397525632957,0.02556743189929152,0.3019397141353624,-0.06105694206293619,0.1725958672133272,0.03973335087664052,0.05438556375943287,0.03581404554306334,0.0403303760839886,0.05122023843381506,0.04475600041248976,0.21888257007685089,-0.020387291883917594,0.105968062315935,0.16405604353226685,-0.07135706808071053,-0.05744431994341903,-0.05665654448485399,-0.015952928749903107,-0.019406608215427123,-0.07136842031119077,0.1312046220174427,0.13254931268245004,-0.02225946895613549,0.22403893147708998,0.09774586322548769,-0.07395002340422303,0.14981512490539534,-0.13301774692146026,-0.03841964243191702,-0.09419952263710528
Iron_(mg),0.23439219242553133,-0.009581822167945689,-0.01852692140845194,0.03214590753476361,-0.44190220403915825,0.3102874312006241,0.19462759849777048,0.020102896467518293,0.2209798699468034,0.4465791841947393,0.371743240621071,0.07623603418818509,0.013520966237664312,1.0,0.44029576235386103,0.15861707777332934,0.14220367116308213,0.10364823644466593,0.4881826176666764,0.4150187756303774,0.06063466671958661,0.3662659865751568,-0.023985983343819996,0.45505176525929786,0.4906866470613223,0.5512287889879581,0.4346198885592865,0.47607810224668023,0.71673750043751,0.6141164770993411,0.38812386435660373,0.7293720909631937,0.22347215931651424,0.24350640873466,0.030477034207976424,0.12296183725259144,0.15073352773652374,-0.06471070228114507,0.006839961201849496,-0.035738830986528636,0.06421843092229702,0.04149175436190285,0.1169701882680839,0.22930650008169648,0.23007112752044248,0.03153823759036532,-0.043118128636340305,0.05231001098019219,0.0781121886603503,0.14849417133601522,-0.2555759163209514,-0.27933527839402905,-0.0704376931687267
Magnesium_(mg),0.01005762341540609,-0.01197599215507747,-0.06132426542219391,0.021445184474273533,-0.3008018889889737,0.1972031200589183,0.3787062339853022,0.01845202804796653,0.33357218598999044,0.20668895713290714,0.3883153106673382,-0.041354302123225176,0.1159181792360956,0.44029576235386103,1.0,0.27776982776107745,0.445615893189159,-0.05571152300377525,0.45532931219224354,0.6296401254759222,0.38094739419784673,0.2989600041467418,-0.008395402867487335,0.1957836663491676,0.19715145724077443,0.3357786243334875,0.4492750938733138,0.25047447775367443,0.5681851383462408,0.09708278090568129,0.716828669352572,0.4389771667000085,0.11150537602541755,0.25959586461277473,0.01410730482355039,-0.04535971966948961,-0.07453915272656794,-0.05876243060422288,0.04831576164413595,-0.040005055755685054,0.13340971818228306,0.02985876318635593,0.3510654787434582,-0.05051508854174561,-0.05128033309096551,0.035973675999715085,-0.06045004192637747,0.05290587643184615,0.10469843356175045,-0.01296659199940174,-0.14229695344212115,-0.22411945868521588,-0.05130257481110779
Phosphorus_(mg),-0.10954760619441441,-0.036579055756339046,0.0771785770373725,0.00217109455746464,-0.38276835632473366,0.33521962462223825,0.6959918826563749,0.2143666659471405,0.5836397737705988,0.06424403841645315,0.06595752618757061,-0.1540487043794571,0.768064468885735,0.15861707777332934,0.27776982776107745,1.0,0.14879685745957158,0.3246918219597586,0.6516626745208325,0.22823095472038243,0.05578913063575932,0.4017220355145344,0.19967168696306078,0.1837865324737512,0.4337192642804324,0.21437992300641212,0.33809266233929774,0.23085108075725444,0.15004913808982817,0.08852374402214394,0.12325344224546504,0.13657706856614193,0.24029317262120864,0.31592148262920877,-0.06156437899826361,0.06172419187051013,0.13612919062818327,-0.10146877980170947,-0.0875728030176065,-0.07378631204776542,0.008970685434704872,-0.0672845126194701,0.0433453684059722,0.21604824900865902,0.21589474557235638,-0.08534535151108011,0.18817045041807667,0.20452545092081742,0.07233725399709087,0.2614092893316803,-0.2394841541570578,-0.05500966688053139,-0.15651896442133545
Potassium_(mg),-0.036289558864300034,0.024200167992659723,-0.04305305973378003,-0.059281674924661854,-0.2194285914196701,0.10622922451422197,0.1726258740621811,-0.035345527963201236,0.5994597984323208,0.19168669488430776,0.37308320752797697,0.04222173254482321,0.007393808914624193,0.14220367116308213,0.445615893189159,0.14879685745957158,1.0,-0.0714139930095652,0.12752063796593407,0.37412239310299983,0.8750093011854413,0.03547334210991782,0.10045372898618556,0.041016733683329004,0.27650803715525374,0.3305413085223159,0.4193244762021904,0.25168706599677226,0.1507377525311371,-0.04217617217917124,0.260568189644645,0.09060055532144679,0.12999012887380987,-0.031620236886448216,0.11869426144716667,0.02493580111904785,-0.05997952677725301,-0.01610894075294598,0.1535167451676774,0.0087553223047658,0.22231918044545426,0.06874047269591359,0.1325033129184188,0.003463739298692445,0.0027795857501184645,0.06304069035830995,-0.06318604730142889,-0.011670214282634452,0.015996917350833237,0.0015753781575632616,-0.08808505005326864,-0.08565382617580719,0.032377542239243114
Sodium_(mg),-0.005004733116645959,-0.11236712222689911,0.033018326371576416,0.02936622929366171,-0.19997600232899937,0.21445662643925079,0.336710729993621,0.19022115720924995,0.5742022684205953,-0.02313928575148553,-0.07450242178541647,-0.22579150417786506,0.21707096083028657,0.10364823644466593,-0.05571152300377525,0.3246918219597586,-0.0714139930095652,1.0,0.26965468018914923,-0.04413421645390927,-0.05456345841372021,0.2569830610411064,-0.1326882248381013,0.14239670576723004,0.22421085831988935,0.16558409933263524,0.053142042544930185,0.07270606855733056,0.044259950063252465,0.12984093662022345,-0.073746633708154,0.07767887521705251,0.05252704560222841,0.11331119909719972,-0.13287342411534261,0.019232598528105545,0.1333829391940376,-0.11703058427644346,-0.16731596109251698,-0.09584767401467845,-0.06439330927160444,-0.11726201802602253,-0.03222837756757966,0.05939037608169635,0.06021478318001676,-0.08436167747421933,0.11827813186573691,0.17672154357146388,0.14147190440056226,0.09770265711604235,-0.31769722181057636,0.027412378544725478,-0.2001463091232877
Zinc_(mg),-0.1230904520226114,-0.005465666657750015,0.08742516684708895,-0.018463599239125505,-0.34903536940516233,0.3310126867091849,0.6704127991023627,0.21852973291017808,0.44233556999089946,0.03841483526320732,0.14439952673845674,-0.13450116487363573,0.5652194227268879,0.4881826176666764,0.45532931219224354,0.6516626745208325,0.12752063796593407,0.26965468018914923,1.0,0.361319496169751,0.07939895400999682,0.41125613729035276,-0.09101185759878974,0.37646757587742063,0.4896423488085568,0.42743380229796457,0.5598076061428601,0.45795802899654964,0.43185194072908833,0.3412819953830843,0.2658602478421416,0.4278417124840761,0.20699278014878578,0.41740754036026756,-0.04755808240488233,0.07617807752173386,0.14784132162457142,-0.06852378344651959,-0.07911393696246809,-0.07351599789795157,0.0016565829644579404,-0.048430643562838764,0.09658608106406232,0.23686835834193246,0.23756579959725221,-0.06918066841642899,0.16897952238061054,0.2311482250637843,0.0800124738515827,0.21334753031708978,-0.1995559483730259,-0.19090259489333636,-0.1559801185284938
Copper_mg),0.02559410630966034,0.042375708628347046,-0.09563463739277919,0.041063018897192126,-0.34990959294911106,0.2563957801691646,0.23374324359137363,0.08084535751279996,0.2857603712368668,0.27980644512202174,0.5144373812915192,0.06593296634028371,-0.0469486121703149,0.4150187756303774,0.6296401254759222,0.22823095472038243,0.37412239310299983,-0.04413421645390927,0.361319496169751,1.0,0.17033109165770263,0.19821271778069208,0.07286883722849331,0.3713227193468438,0.24653567135682633,0.4641062702897697,0.4169201433243498,0.4352788976461116,0.4249382506159231,0.15171443595301629,0.45957039116653575,0.3594564399803265,0.0946248613499811,0.15621393125526356,0.16358693819302228,0.035736952095053655,-0.08366632271034508,-0.0423915347832448,0.22360011430722437,-0.007973272982174484,0.3047532737757205,0.16669994967357035,0.3400455970591287,-0.03093275449191777,-0.03141806767361774,0.2306606194532889,-0.041852635601033764,0.10291485716935773,0.2110003983672092,-0.041021096118784246,-0.13910490776781953,-0.19815031017364335,0.007560896966898483
